Years,Australia,Canada,Colombia,Costa Rica,France,China,Italy,United States,United Kingdom
1990,0.871,0.850,0.603,0.665,0.786,0.784,0.776,0.865,0.781
1991,0.871,0.854,0.606,0.672,0.796,0.789,0.782,0.867,0.794
1992,0.873,0.857,0.617,0.680,0.804,0.794,0.788,0.872,0.807
1993,0.876,0.855,0.624,0.687,0.810,0.802,0.793,0.877,0.820
1994,0.879,0.859,0.631,0.692,0.825,0.807,0.802,0.880,0.833
1995,0.888,0.862,0.637,0.697,0.832,0.811,0.808,0.883,0.846
1996,0.890,0.864,0.647,0.701,0.837,0.814,0.814,0.884,0.851
1997,0.893,0.863,0.655,0.707,0.841,0.819,0.821,0.886,0.856
1998,0.896,0.861,0.662,0.713,0.845,0.820,0.827,0.889,0.862
1999,0.900,0.864,0.662,0.717,0.851,0.824,0.832,0.890,0.868
2000,0.903,0.867,0.666,0.721,0.849,0.830,0.838,0.886,0.874
2001,0.905,0.871,0.668,0.725,0.851,0.838,0.845,0.889,0.878
2002,0.907,0.877,0.671,0.728,0.852,0.845,0.850,0.891,0.881
2003,0.909,0.882,0.670,0.731,0.855,0.854,0.855,0.894,0.885
2004,0.911,0.888,0.684,0.735,0.858,0.865,0.860,0.897,0.892
2005,0.906,0.894,0.689,0.738,0.867,0.874,0.865,0.900,0.897
2006,0.909,0.898,0.698,0.745,0.871,0.886,0.870,0.903,0.896
2007,0.912,0.896,0.711,0.753,0.874,0.890,0.874,0.906,0.899
2008,0.926,0.898,0.718,0.761,0.875,0.899,0.876,0.911,0.903
2009,0.928,0.898,0.720,0.762,0.876,0.901,0.876,0.912,0.906
2010,0.930,0.901,0.729,0.765,0.879,0.904,0.879,0.916,0.912
2011,0.932,0.903,0.734,0.778,0.882,0.907,0.883,0.919,0.906
2012,0.937,0.906,0.739,0.783,0.885,0.914,0.882,0.920,0.904
2013,0.931,0.913,0.742,0.788,0.889,0.918,0.881,0.918,0.921
2014,0.933,0.918,0.753,0.796,0.893,0.926,0.882,0.920,0.925
2015,0.938,0.921,0.756,0.797,0.895,0.930,0.882,0.921,0.923
2016,0.939,0.923,0.760,0.801,0.894,0.936,0.884,0.922,0.924
2017,0.941,0.926,0.763,0.804,0.897,0.941,0.886,0.924,0.926
2018,0.943,0.928,0.764,0.808,0.898,0.946,0.890,0.925,0.928
2019,0.944,0.929,0.767,0.810,0.901,0.949,0.892,0.926,0.932
