Years,Australia,Canada,China,Colombia,Costa Rica,France,United Kingdom,Italy,United States
1990,3.11E+11,5.94E+11,3.61E+11,47844090710,5711687787,1.27E+12,1.09E+12,1.18E+12,5.96E+12
1991,3.26E+11,6.1E+11,3.83E+11,49175565911,7196276092,1.27E+12,1.14E+12,1.25E+12,6.16E+12
1992,3.25E+11,5.92E+11,4.27E+11,58418985443,8564044017,1.4E+12,1.18E+12,1.32E+12,6.52E+12
1993,3.12E+11,5.77E+11,4.45E+11,66446804803,9582866263,1.32E+12,1.06E+12,1.06E+12,6.86E+12
1994,3.23E+11,5.78E+11,5.64E+11,81703500846,10486784805,1.39E+12,1.14E+12,1.1E+12,7.29E+12
1995,3.68E+11,6.04E+11,7.35E+11,92507279383,11578594260,1.6E+12,1.35E+12,1.17E+12,7.64E+12
1996,4.01E+11,6.29E+11,8.64E+11,97160109278,11678424507,1.61E+12,1.42E+12,1.31E+12,8.07E+12
1997,4.35E+11,6.55E+11,9.62E+11,1.07E+11,12614602382,1.45E+12,1.56E+12,1.24E+12,8.58E+12
1998,3.99E+11,6.34E+11,1.03E+12,98443739941,13684255947,1.5E+12,1.65E+12,1.27E+12,9.06E+12
1999,3.89E+11,6.78E+11,1.09E+12,86186158685,14254866281,1.49E+12,1.69E+12,1.25E+12,9.63E+12
2000,4.16E+11,7.45E+11,1.21E+12,99886577331,15013629659,1.36E+12,1.66E+12,1.14E+12,1.03E+13
2001,3.79E+11,7.39E+11,1.34E+12,98211749596,15976174337,1.38E+12,1.64E+12,1.17E+12,1.06E+13
2002,3.95E+11,7.61E+11,1.47E+12,97963003805,16578820687,1.49E+12,1.78E+12,1.27E+12,1.09E+13
2003,4.67E+11,8.96E+11,1.66E+12,94641378693,17271760507,1.84E+12,2.06E+12,1.57E+12,1.15E+13
2004,6.14E+11,1.03E+12,1.96E+12,1.17E+11,18610594846,2.12E+12,2.42E+12,1.8E+12,1.22E+13
2005,6.95E+11,1.17E+12,2.29E+12,1.46E+11,20040642477,2.2E+12,2.54E+12,1.86E+12,1.3E+13
2006,7.48E+11,1.32E+12,2.75E+12,1.62E+11,22715540324,2.32E+12,2.72E+12,1.95E+12,1.38E+13
2007,8.54E+11,1.47E+12,3.55E+12,2.06E+11,26884700345,2.66E+12,3.11E+12,2.21E+12,1.45E+13
2008,1.06E+12,1.55E+12,4.59E+12,2.42E+11,30801744881,2.92E+12,2.94E+12,2.4E+12,1.47E+13
2009,9.28E+11,1.37E+12,5.1E+12,2.32E+11,30745712007,2.69E+12,2.43E+12,2.19E+12,1.44E+13
2010,1.15E+12,1.62E+12,6.09E+12,2.87E+11,37658614803,2.64E+12,2.49E+12,2.13E+12,1.5E+13
2011,1.4E+12,1.79E+12,7.55E+12,3.35E+11,42762617082,2.86E+12,2.67E+12,2.29E+12,1.55E+13
2012,1.55E+12,1.83E+12,8.53E+12,3.71E+11,47231651863,2.68E+12,2.72E+12,2.09E+12,1.62E+13
2013,1.58E+12,1.85E+12,9.57E+12,3.82E+11,50949672206,2.81E+12,2.8E+12,2.14E+12,1.68E+13
2014,1.47E+12,1.81E+12,1.05E+13,3.81E+11,52016408951,2.85E+12,3.09E+12,2.16E+12,1.75E+13
2015,1.35E+12,1.56E+12,1.11E+13,2.93E+11,56441917653,2.44E+12,2.96E+12,1.84E+12,1.82E+13
2016,1.21E+12,1.53E+12,1.12E+13,2.83E+11,58847016045,2.47E+12,2.72E+12,1.88E+12,1.87E+13
2017,1.33E+12,1.65E+12,1.23E+13,3.12E+11,60516043590,2.59E+12,2.7E+12,1.96E+12,1.95E+13
2018,1.43E+12,1.73E+12,1.39E+13,3.34E+11,62420165100,2.79E+12,2.9E+12,2.09E+12,2.06E+13
