"Year","Argentina","Armenia","Australia","Brazil","Central African Republic","Canada","Switzerland","Chile","China","Colombia","Germany","Ecuador","Egypt","Spain","Finland","France","Gabon","United Kingdom","China, Hong Kong SAR","Honduras","Croatia","Hungary","Indonesia","Ireland","Iran","Iraq","Iceland","Israel","Italy"
"1990","  33,036 ","  3,377 ","  16,956 ","  151,170 ","  3,085 ","  27,791 ","  6,837 ","  13,129 ","  1,135,185 ","  32,957 ","  79,380 ","  10,318 ","  56,683 ","  39,351 ","  4,986 ","  58,168 ","  938 ","  57,493 ","  5,426 ","  4,798 ","  4,508 ","  10,372 ","  179,323 ","  3,508 ","  56,669 ","  18,135 ","  255 ","  4,478 ","  56,743 "
"1991","  33,505 ","  3,434 ","  17,162 ","  153,735 ","  3,174 ","  28,148 ","  6,923 ","  13,371 ","  1,149,979 ","  33,642 ","  79,961 ","  10,430 ","  57,731 ","  39,451 ","  5,014 ","  58,514 ","  961 ","  57,671 ","  5,425 ","  4,937 ","  4,425 ","  10,371 ","  182,436 ","  3,528 ","  57,989 ","  18,624 ","  258 ","  4,650 ","  56,782 "
"1992","  33,967 ","  3,357 ","  17,338 ","  156,281 ","  3,267 ","  28,487 ","  6,999 ","  13,685 ","  1,163,363 ","  34,314 ","  80,571 ","  10,554 ","  58,583 ","  39,645 ","  5,042 ","  58,801 ","  970 ","  57,828 ","  5,366 ","  5,084 ","  4,318 ","  10,367 ","  185,561 ","  3,553 ","  59,096 ","  19,159 ","  261 ","  4,824 ","  56,821 "
"1993","  34,408 ","  3,185 ","  17,498 ","  158,813 ","  3,367 ","  28,815 ","  7,063 ","  13,904 ","  1,176,727 ","  34,969 ","  81,103 ","  10,754 ","  59,434 ","  39,851 ","  5,066 ","  59,050 ","  1,016 ","  57,966 ","  5,264 ","  5,237 ","  4,341 ","  10,355 ","  188,687 ","  3,570 ","  60,044 ","  19,734 ","  264 ","  5,000 ","  56,856 "
"1994","  34,847 ","  3,060 ","  17,670 ","  161,327 ","  3,466 ","  29,126 ","  7,120 ","  14,118 ","  1,189,962 ","  35,601 ","  81,384 ","  11,013 ","  60,299 ","  40,041 ","  5,088 ","  59,265 ","  1,032 ","  58,114 ","  5,141 ","  5,395 ","  4,390 ","  10,341 ","  191,867 ","  3,584 ","  60,916 ","  20,342 ","  266 ","  5,178 ","  56,867 "
"1995","  35,274 ","  2,995 ","  17,894 ","  163,819 ","  3,544 ","  29,431 ","  7,168 ","  14,326 ","  1,202,581 ","  36,207 ","  81,624 ","  11,266 ","  61,183 ","  40,218 ","  5,108 ","  59,474 ","  1,041 ","  58,268 ","  5,037 ","  5,556 ","  4,360 ","  10,327 ","  195,127 ","  3,603 ","  61,772 ","  20,977 ","  267 ","  5,357 ","  56,868 "
"1996","  35,683 ","  2,985 ","  18,102 ","  166,306 ","  3,622 ","  29,740 ","  7,199 ","  14,530 ","  1,215,171 ","  36,796 ","  81,861 ","  11,526 ","  62,094 ","  40,386 ","  5,125 ","  59,680 ","  1,061 ","  58,417 ","  4,961 ","  5,719 ","  4,300 ","  10,309 ","  198,466 ","  3,632 ","  62,629 ","  21,637 ","  269 ","  5,520 ","  56,884 "
"1997","  36,103 ","  2,978 ","  18,279 ","  168,806 ","  3,707 ","  30,039 ","  7,217 ","  14,727 ","  1,227,453 ","  37,279 ","  81,980 ","  11,792 ","  63,360 ","  40,556 ","  5,140 ","  59,887 ","  1,086 ","  58,567 ","  4,912 ","  5,881 ","  4,280 ","  10,288 ","  201,698 ","  3,668 ","  63,475 ","  22,320 ","  271 ","  5,666 ","  56,914 "
"1998","  36,518 ","  2,972 ","  18,473 ","  171,317 ","  3,798 ","  30,297 ","  7,238 ","  14,918 ","  1,238,722 ","  37,858 ","  81,993 ","  12,051 ","  64,653 ","  40,724 ","  5,153 ","  60,103 ","  1,111 ","  58,738 ","  4,878 ","  6,046 ","  4,277 ","  10,264 ","  204,872 ","  3,707 ","  64,315 ","  23,023 ","  274 ","  5,815 ","  56,930 "
"1999","  36,924 ","  2,970 ","  18,683 ","  173,839 ","  3,889 ","  30,541 ","  7,273 ","  15,104 ","  1,248,899 ","  38,341 ","  82,046 ","  12,268 ","  65,976 ","  40,889 ","  5,165 ","  60,408 ","  1,143 ","  58,934 ","  4,848 ","  6,198 ","  4,258 ","  10,235 ","  208,105 ","  3,749 ","  65,149 ","  23,739 ","  277 ","  5,968 ","  56,940 "
